t_nd,up,vp,rp,x,y,psi,delta,u_c,v_c
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05726475386798248,0.05726475386798248
0.1,-2786614.7269677077,-153685371821.11282,-9645079388045.791,33.47964822246883,34.56212831646046,1124.5351416538078,0.0,0.05726475386798248,0.05726475386798248
0.2,nan,nan,nan,nan,nan,inf,0.0,0.06542012796316757,0.04773584531988523
0.30000000000000004,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.4,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.5,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.6,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.7,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.7999999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.8999999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
0.9999999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.0999999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.2,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.3,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.4000000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.5000000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.6000000000000003,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.7000000000000004,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.8000000000000005,nan,nan,nan,nan,nan,nan,0.0,nan,nan
1.9000000000000006,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.0000000000000004,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.1000000000000005,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.2000000000000006,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.3000000000000007,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.400000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.500000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.600000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.700000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.800000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
2.9000000000000012,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.0000000000000013,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.1000000000000014,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.2000000000000015,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.3000000000000016,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.4000000000000017,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.5000000000000018,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.600000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.700000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.800000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
3.900000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.000000000000002,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.100000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.200000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.300000000000001,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.4,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.5,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.6,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.699999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.799999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.899999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
4.999999999999998,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.099999999999998,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.1999999999999975,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.299999999999997,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.399999999999997,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.4999999999999964,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.599999999999996,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.699999999999996,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.799999999999995,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.899999999999995,nan,nan,nan,nan,nan,nan,0.0,nan,nan
5.999999999999995,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.099999999999994,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.199999999999994,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.299999999999994,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.399999999999993,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.499999999999993,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.5999999999999925,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.699999999999992,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.799999999999992,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.8999999999999915,nan,nan,nan,nan,nan,nan,0.0,nan,nan
6.999999999999991,nan,nan,nan,nan,nan,nan,0.0,nan,nan
7.099999999999991,nan,nan,nan,nan,nan,nan,0.0,nan,nan
7.19999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
7.29999999999999,nan,nan,nan,nan,nan,nan,0.0,nan,nan
